Land-River Segment,FIPS,County,Tributary Basin,Major Basin,Source Sector,"Total N, 1985 (lb.)","Total N, 2007 (lb.)","Total N, 2009 (lb.)","Total N, 2010 (lb.)","Total N, 2011 (lb.)","Total N, 2012 (lb.)","Total N, 2013 (lb.)","Total N, 2014 (lb.)","Total N, 2015 (lb.)","Total N, 2016 (lb)","Total N Target, 2017 (lb.)",Total N Target 2025 (lb.)
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,51155.919438999998,44291.188481999998,44013.497319000002,44071.130370999999,44127.954833999996,44065.744141000003,43439.700191999997,42644.769651000002,42279.00008392334,43150.365478515625,44567.218759800002,44936.366387000002
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,23.744800569999999,11.600469589999999,11.600469589999999,11.600469589999999,11.600469589999999,11.600469589999999,11.600469589999999,11.600469589999999,11.600469589233398,11.600469589233398,11.600469146,11.60046885
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,593.98419190000004,539.57342530000005,534.81481929999995,532.09619139999995,530.28411870000002,527.56512450000002,687.84661870000002,553.04357909999999,547.53997802734386,542.8953857421875,466.80391306000001,421.46330890000002
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,4163.4872607999996,2510.1138759999999,2473.7452503,2463.5646747000001,2455.8171799000002,2456.445068,5187.8550366999998,2569.2934396999999,2718.073060035706,2686.0102034807205,2278.6173966000001,2148.5321607999999
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,153.1799011,54.931515279999999,298.7707029,111.26398548,113.85828488,101.05088127,93.216106710000005,170.57898358,0.902378380298614,68.777241051197038,160.7122332246,68.673253441
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,15441.999298999999,6334.0969580999999,5363.7810022000003,5447.9291836000002,5298.2086165000001,4807.5390819000004,4257.6305697999996,7078.6127161000004,6868.7318420410147,6590.5428314209003,5426.1663986800004,5467.7566630000001
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,12118.457643,11013.503664,10978.346189,11011.178284,11052.815187,11051.169738000001,10846.244142,10585.3004,10523.757989883423,10762.613464355469,11117.065084399999,11209.544347999999
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,29.312059399999999,14.32032967,14.32032967,14.32032967,14.32032967,14.32032967,14.32032967,14.32032967,14.320329666137697,14.320329666137697,14.320330528,14.320331100000001
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,358.96319579999999,346.29599000000002,340.45330810000002,337.11459350000001,333.78060909999999,403.32269289999999,328.67950439999998,322.66488647460943,319.09979248046875,300.31928306000003,269.6681451
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,2093.0734100999998,1496.2569197,1479.8590316,1454.1637573,1450.8365478000001,1453.3614502,2195.3904118,1547.9392166,1586.9189987182622,1577.7069473266599,1352.33243324,1267.314701
